gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
32,expedited,1,15,0.024,8,32
32,expedited,1,16,0.024,8,32
32,expedited,1,17,0.023,9,32
32,expedited,1,18,0.026,9,32
32,expedited,1,19,0.025,11,32
32,expedited,1,20,0.027,8,32
32,expedited,1,21,0.025,9,32
32,expedited,1,22,0.025,8,32
32,expedited,1,23,0.026,8,32
32,expedited,1,24,0.024,8,32
32,expedited,1,25,0.020,12,32
32,expedited,1,26,0.024,8,32
32,expedited,1,27,0.023,9,32
32,expedited,1,28,0.023,10,32
32,expedited,1,29,0.026,8,32
32,expedited,1,30,0.026,9,32
32,expedited,1,31,0.028,9,32
32,expedited,1,32,0.023,9,32
32,expedited,1,33,0.025,10,32
32,expedited,1,34,0.023,8,32
32,expedited,1,35,0.028,9,32
32,expedited,1,36,0.026,9,32
32,expedited,1,37,0.025,10,32
32,expedited,1,38,0.024,8,32
32,expedited,1,39,0.024,9,32
32,expedited,1,40,0.028,8,32
64,expedited,1,1,0.026,9,64
64,expedited,1,2,0.025,8,64
64,expedited,1,3,0.024,8,64
64,expedited,1,4,0.024,10,64
64,expedited,1,5,0.023,9,64
64,expedited,1,6,0.024,9,64
64,expedited,1,7,0.024,8,64
64,expedited,1,8,0.022,8,64
64,expedited,1,9,0.022,8,64
64,expedited,1,10,0.024,8,64
64,expedited,1,11,0.026,8,64
64,expedited,1,12,0.025,8,64
64,expedited,1,13,0.024,9,64
64,expedited,1,14,0.023,8,64
64,expedited,1,15,0.025,8,64
64,expedited,1,16,0.024,9,64
64,expedited,1,17,0.025,8,64
64,expedited,1,18,0.024,9,64
64,expedited,1,19,0.022,8,64
64,expedited,1,20,0.024,9,64
64,expedited,1,21,0.025,8,64
64,expedited,1,22,0.025,8,64
64,expedited,1,23,0.024,9,64
64,expedited,1,24,0.026,8,64
64,expedited,1,25,0.025,8,64
64,expedited,1,26,0.057,8,64
64,expedited,1,27,0.024,8,64
64,expedited,1,28,0.025,9,64
64,expedited,1,29,0.036,8,64
64,expedited,1,30,0.024,8,64
64,expedited,1,31,0.021,8,64
64,expedited,1,32,0.027,9,64
64,expedited,1,33,0.019,9,64
64,expedited,1,34,0.025,9,64
64,expedited,1,35,0.024,10,64
64,expedited,1,36,0.022,9,64
64,expedited,1,37,0.025,9,64
64,expedited,1,38,0.024,9,64
64,expedited,1,39,0.020,8,64
64,expedited,1,40,0.024,8,64
