gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
64,normal,0,28,2.0,9,64
64,normal,0,29,4.9,8,64
64,normal,0,30,3.2,8,64
64,normal,0,31,8.0,9,64
64,normal,0,32,4.2,8,64
64,normal,0,33,2.1,8,64
64,normal,0,34,5.2,8,64
64,normal,0,35,5.0,8,64
64,normal,0,36,9.2,9,64
64,normal,0,37,4.5,9,64
64,normal,0,38,2.4,9,64
64,normal,0,39,4.6,8,64
64,normal,0,40,7.3,9,64
